ファイルID,ファイル名/タイトル,URL,カテゴリ名,所属親フォルダID,所属親フォルダ名,フォルダパス
item_001,20-1 連合国から国際連合へ,https://example.com/history/20-1%20%E9%80%A3%E5%90%88%E5%9B%BD%E3%81%8B%E3%82%89,主要内容,folder_002,終戦をめぐる攻防と冷戦の予兆,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 終戦をめぐる攻防と冷戦の予兆
item_002,アメリカの軍事力・経済力,https://example.com/history/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%81%AE%E8%BB%8D%E4%BA%8B%E5%8A%9B%E3%83%BB%E7%B5%8C,主要内容,folder_002,終戦をめぐる攻防と冷戦の予兆,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 終戦をめぐる攻防と冷戦の予兆
item_003,ソ連圏の形成,https://example.com/history/%E3%82%BD%E9%80%A3%E5%9C%8F%E3%81%AE%E5%BD%A2%E6%88%90,詳細（授業）,folder_002,終戦をめぐる攻防と冷戦の予兆,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 終戦をめぐる攻防と冷戦の予兆
item_004,西欧諸国での革新政党の躍進,https://example.com/history/%E8%A5%BF%E6%AC%A7%E8%AB%B8%E5%9B%BD%E3%81%A7%E3%81%AE%E9%9D%A9%E6%96%B0%E6%94%BF%E5%85%9A,詳細（授業）,folder_002,終戦をめぐる攻防と冷戦の予兆,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 終戦をめぐる攻防と冷戦の予兆
item_005,ヨーロッパにおける冷戦の形成,https://example.com/history/%E3%83%A8%E3%83%BC%E3%83%AD%E3%83%83%E3%83%91%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B%E5%86%B7,詳細（授業）,folder_002,終戦をめぐる攻防と冷戦の予兆,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 終戦をめぐる攻防と冷戦の予兆
item_006,対枢軸国講和と戦後処理,https://example.com/history/%E5%AF%BE%E6%9E%A2%E8%BB%B8%E5%9B%BD%E8%AC%9B%E5%92%8C%E3%81%A8%E6%88%A6%E5%BE%8C%E5%87%A6,補足教科書,folder_002,終戦をめぐる攻防と冷戦の予兆,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 終戦をめぐる攻防と冷戦の予兆
item_007,アジア・太平洋戦争と日本の敗戦,https://example.com/history/%E3%82%A2%E3%82%B8%E3%82%A2%E3%83%BB%E5%A4%AA%E5%B9%B3%E6%B4%8B%E6%88%A6%E4%BA%89%E3%81%A8,補足教科書,folder_003,第二次世界大戦と戦後の東アジア,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 第二次世界大戦と戦後の東アジア
item_008,カイロ宣言と東アジアの戦後構想,https://example.com/history/%E3%82%AB%E3%82%A4%E3%83%AD%E5%AE%A3%E8%A8%80%E3%81%A8%E6%9D%B1%E3%82%A2%E3%82%B8%E3%82%A2,補足教科書,folder_003,第二次世界大戦と戦後の東アジア,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 第二次世界大戦と戦後の東アジア
item_009,19-4 ついにアメリカが動いた！日米の開戦！,https://example.com/history/19-4%20%E3%81%A4%E3%81%84%E3%81%AB%E3%82%A2%E3%83%A1,本情報,folder_003,第二次世界大戦と戦後の東アジア,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 第二次世界大戦と戦後の東アジア
item_010,ポツダム宣言と日本の敗戦,https://example.com/history/%E3%83%9D%E3%83%84%E3%83%80%E3%83%A0%E5%AE%A3%E8%A8%80%E3%81%A8%E6%97%A5%E6%9C%AC%E3%81%AE,本情報,folder_003,第二次世界大戦と戦後の東アジア,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 第二次世界大戦と戦後の東アジア
item_011,「日本よ、出ていけ！」対日占領統治,https://example.com/history/%E3%80%8C%E6%97%A5%E6%9C%AC%E3%82%88%E3%80%81%E5%87%BA%E3%81%A6%E3%81%84%E3%81%91%EF%BC%81,本情報,folder_003,第二次世界大戦と戦後の東アジア,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 第二次世界大戦と戦後の東アジア
item_012,「日本の戦後処理！」帝国の解体と分断国家の形成,https://example.com/history/%E3%80%8C%E6%97%A5%E6%9C%AC%E3%81%AE%E6%88%A6%E5%BE%8C%E5%87%A6%E7%90%86%EF%BC%81%E3%80%8D,主要内容,folder_003,第二次世界大戦と戦後の東アジア,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 第二次世界大戦と戦後の東アジア
item_013,19-4 大日本帝国の解体と連合国の接収,https://example.com/history/19-4%20%E5%A4%A7%E6%97%A5%E6%9C%AC%E5%B8%9D%E5%9B%BD,主要内容,folder_004,継続する東アジアの戦争,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 継続する東アジアの戦争
item_014,引き揚げと人の移動,https://example.com/history/%E5%BC%95%E3%81%8D%E6%8F%9A%E3%81%92%E3%81%A8%E4%BA%BA%E3%81%AE%E7%A7%BB%E5%8B%95,詳細（授業）,folder_004,継続する東アジアの戦争,教科書（世界史） ＞ 第3編　近代 ＞ 第19章 第二次世界大戦とその後の東アジア ＞ 2 帝国の解体と分断国家の形成 ＞ 継続する東アジアの戦争
